市区町村名,イベント名,イベント名_カナ,イベント名_英語,カテゴリー,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,主催者,場所名称,住所,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,郵便番号,共催・協力,参加条件_詳細,駐車場_有無,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
江東区,第27回国際交流のつどい,ダイニジュウナナカイコクサイコウリュウノツドイ,27th International Friendship Event,その他,2020-03-15,2020-03-15,11:00,16:00,情報なし,区内在住外国人との交流を通じて多文化を体験できるイベントです。世界の料理やマーケット、国際色豊かなステージ、各国の民族衣装の試着など外国文化のほか、お点前、お香作り、和装の試着など日本文化も体験できます。こどもから大人まで、国籍を問わずお楽しみいただけます。,情報なし,入場無料。一部飲食物等が有料,江東区地域振興課区民交流担当,(03)3647-4963,江東区地域振興課,江東区総合区民センター,東京都江東区大島4-5-1,35.689078,139.826993,都営地下鉄新宿線 西大島駅 徒歩5分,有,情報なし,情報なし,情報なし,情報なし,https://www.city.koto.lg.jp/kurashi/komyunitei/kokusai/index.html,新型コロナウイルス感染症拡大防止のため中止,136-0072,情報なし,情報なし,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/kokusai/68.html,情報なし,情報なし,2020-12-18
江東区,第38回江東花火大会,ダイサンジュウハチカイコウトウハナビタイカイ,38th Koto Fireworks Festival,祭り,2020-06-06,2020-06-06,19:30,20:30,小雨決行・荒天中止（順延日なし）,江東区花火大会は、打ち上げ場所から会場の荒川・砂町水辺公園まではわずか150メートル。川面に映える花火は納涼感、迫力ともに満点です。,情報なし,入場無料。一部飲食物等が有料,江東区地域振興課区民交流担当,(03)3647-4963,江東花火大会実行委員会,荒川・砂町水辺公園,東京都江東区東砂8-22先,35.668864,139.843482,東京メトロ東西線 南砂町駅　徒歩15分,無,情報なし,情報なし,情報なし,情報なし,https://www.city.koto.lg.jp/kurashi/komyunitei/hanabi/index.html,新型コロナウイルス感染症拡大防止のため中止,136-0074,情報なし,情報なし,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,デートDV防止啓発出前講座,デートディーヴイボウシケイハツデマエコウザ,38th Koto Fireworks Festival,教育,2020-01-10,2020-01-10,14:35,15:25,小雨決行・荒天中止（順延日なし）,デートDV 防止の出前講座,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区立有明中学校,江東区有明2-10-1,35.640291,139.796122,東京臨海高速鉄道りんかい線東雲駅徒歩10分・ゆりかもめ有明テニスの森徒歩10分,無,90,情報なし,情報なし,なし,https://www.city.koto.lg.jp/kurashi/komyunitei/hanabi/index.html,授業の一環として実施するため、一般には募集しない,135-0063,江東区立有明中学校,江東区立有明中学校2年生,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,仕事と介護の両立研修,シゴトトカイゴノリョウリツケンシュウ,38th Koto Fireworks Festival,教育,2020-01-15,2020-01-15,14:00,16:00,小雨決行・荒天中止（順延日なし）,中小企業の管理職向け仕事と介護の両立支援,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,30,2020/1/14,21:00,電話、FAX、窓口、ホームページ,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,中小企業管理職向け研修第2回,135-0011,江東区立有明中学校,中小企業管理職、リーダー,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,ひとりで悩まないで！ワンオペ育児からの卒業,ヒトリデナヤマナイデ！ワンオペイクジカラノソツギョウ,38th Koto Fireworks Festival,その他,2020-01-17,2020-01-17,10:00,12:00,小雨決行・荒天中止（順延日なし）,幼稚園児保護者に対する男女平等教育の推進,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,100,2019/11/29,16:00,各幼稚園PTA役員へ申込書提出,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,区立幼稚園保護者対象講座のため、一般には募集しない,135-0011,区立幼稚園PTA連合会,区立幼稚園在籍園児保護者,0,1,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,女性のための起業入門講座（第1回）,ジョセイノタメノキギョウニュウモンコウザ,38th Koto Fireworks Festival,教育,2020-01-26,2020-01-26,14:00,16:30,小雨決行・荒天中止（順延日なし）,起業を検討している方、現在起業中の方向けの講座,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,90,2019/12/20,21:00,電話、窓口、ホームページ,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,区立幼稚園保護者対象講座のため、一般には募集しない,135-0011,区立幼稚園PTA連合会,女性（全3回参加できる方優先）,0,1,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,女性のための起業入門講座（第2回）,ジョセイノタメノキギョウニュウモンコウザ,38th Koto Fireworks Festival,教育,2020-02-02,2020-02-02,14:00,16:30,小雨決行・荒天中止（順延日なし）,起業を検討している方、現在起業中の方向けの講座,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,90,2019/12/20,21:00,電話、窓口、ホームページ,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,区立幼稚園保護者対象講座のため、一般には募集しない,135-0011,区立幼稚園PTA連合会,女性（全3回参加できる方優先）,0,1,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,女性のための起業入門講座（第3回）,ジョセイノタメノキギョウニュウモンコウザ,38th Koto Fireworks Festival,教育,2020-02-09,2020-02-09,14:00,16:30,小雨決行・荒天中止（順延日なし）,起業を検討している方、現在起業中の方向けの講座,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,90,2019/12/20,21:00,電話、窓口、ホームページ,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,区立幼稚園保護者対象講座のため、一般には募集しない,135-0011,区立幼稚園PTA連合会,女性（全3回参加できる方優先）,0,1,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,男性の育児休業研修,ダンセイノイクジキュウギョウケンシュウ,38th Koto Fireworks Festival,教育,2020-02-13,2020-02-13,14:00,16:00,小雨決行・荒天中止（順延日なし）,企業に対するワーク・ライフバ・ランス推進の働きかけ,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区文化センター,江東区東陽4-11-3,35.67273,139.818473,東京メトロ東西線東陽町駅徒歩5分,無,30,2020/2/12,21:00,電話、FAX、窓口、ホームページ,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,中小企業管理職向け研修第3回,135-0011,区立幼稚園PTA連合会,中小企業管理職、リーダー,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,「好い加減人生」のススメ〜「切り替えスイッチ」で極上の時間を！〜,イイカゲンジンセイノススメ〜キリカエスイッチデゴクジョウノジカンヲ〜,38th Koto Fireworks Festival,その他,2020-02-22,2020-02-22,14:00,16:00,小雨決行・荒天中止（順延日なし）,家庭における男女共同参画の推進,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,60,2020/2/21,21:00,電話、窓口、ホームページ,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,中小企業管理職向け研修第3回,135-0011,区立幼稚園PTA連合会,男性,0,1,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,職場のハラスメント研修,ショクバノハラスメントケンシュウ,38th Koto Fireworks Festival,教育,2020-03-05,2020-03-05,14:00,16:00,小雨決行・荒天中止（順延日なし）,企業に対するハラスメント防止の働きかけ,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区文化センター,江東区東陽4-11-3,35.67273,139.818473,東京メトロ東西線東陽町駅徒歩5分,無,30,2020/3/4,21:00,電話、FAX、窓口、ホームページ,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,中小企業管理職向け研修第4回・新型コロナウイルスの影響により中止,135-0011,区立幼稚園PTA連合会,中小企業管理職、リーダー,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,パルシティまつり,パルシティマツリ,38th Koto Fireworks Festival,祭り,2020-03-07,2020-03-08,10:00,17:00,小雨決行・荒天中止（順延日なし）,各種体験教室や出展団体によるグッズの販売、こどもから大人まで楽しめるスタンプラリー、焼きそば、おしるこなどの模擬店等,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,30,3月7日,21:00,一部申込制,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,新型コロナウイルスの影響により中止,135-0011,区立幼稚園PTA連合会,中小企業管理職、リーダー,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,デートDV防止啓発出前講座,デートディーヴイボウシケイハツデマエコウザ,38th Koto Fireworks Festival,教育,2020-03-09,2020-03-09,13:35,15:25,小雨決行・荒天中止（順延日なし）,デートDV 防止の出前講座,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区立深川第二中学校,江東区冬木22-10,35.676364,139.800644,東京メトロ東西線門前仲町駅・都営地下鉄大江戸線門前仲町駅、清澄白河駅・都営バス門21深川二丁目停留所、門33深川二丁目停留所,無,125,3月7日,21:00,なし,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,授業の一環として実施するため、一般には募集しない・新型コロナウイルスの影響により中止,135-0041,江東区立深川第二中学校,江東区立深川第二中学校3年生,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,性の多様性理解促進出前講座,セイノタヨウセイリカイソクシンデマエコウザ,38th Koto Fireworks Festival,教育,2020-03-11,2020-03-11,10:40,12:00,小雨決行・荒天中止（順延日なし）,性の多様性を理解するための出前講座,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区立辰巳中学校,江東区辰巳1-10-57,35.646875,139.811364,東京メトロ有楽町線辰巳駅,無,48,3月7日,21:00,なし,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/kouza/index.html,授業の一環として実施するため、一般には募集しない・新型コロナウイルスの影響により中止,135-0053,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
